ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('negative', 0.494)",negative,Bored,"('Bored', 0.2811310877031694)",How much do care that lose money on
"('negative', 0.697)",negative,Bored,"('Bored', 0.26720787383052835)",The men on this stage think theyre capable of make about health they dont believe in
"('neutral', 0.613)",neutral,Excited,"('Excited', 0.24332729714405033)",want to improve our economy by tax pimp and prostitute who be Were in trouble
"('neutral', 0.716)",neutral,Fear,"('Fear', 0.5034402904391014)",Is this episode of the apprentice
"('neutral', 0.697)",neutral,Bored,"('Bored', 0.2712320944542407)",Dig into if you be do that to
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.671)",negative,Bored,"('Bored', 0.310122918208261)",Trump be a victim I use the just like and of people
"('positive', 0.881)",positive,Fear,"('Fear', 0.3001328477915385)",talk about how big my company be and how many I have
"('neutral', 0.753)",neutral,Excited,"('Excited', 0.3557363259013811)",Tell em Trump
"('negative', 0.961)",negative,Angry,"('Angry', 0.7201418387079694)",really really really piss off at FOX News for what they do to
"('negative', 0.535)",negative,Fear,"('Fear', 0.2744108930451834)",Does this remind you of s
"('neutral', 0.537)",neutral,Angry,"('Angry', 0.3804052344260412)",hand gesture be second to those of the season one Power
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('neutral', 0.783)",neutral,Excited,"('Excited', 0.49129524643797035)",head into the Presidential GO TED
"('negative', 0.759)",negative,Angry,"('Angry', 0.2630020505539363)",where the bell doesnt mean a thing
"('positive', 0.709)",positive,Excited,"('Excited', 0.41010241081669563)",Trump prove to be a stellar statesman
"('negative', 0.632)",negative,Angry,"('Angry', 0.4520245603205219)",We need a good and bad egg weed out these just arent cut it
"('negative', 0.466)",negative,Bored,"('Bored', 0.25855005111068485)",We know rich Trump Really rich Now can it
"('negative', 0.758)",negative,Bored,"('Bored', 0.26815518583696407)",I might be ambivalent about the current Democratic but I sure as hell be not ambivalent about vote for a
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('negative', 0.584)",negative,Angry,"('Angry', 0.4472783022340533)",Can you answer this very direct question I should be president So no
"('negative', 0.957)",negative,Angry,"('Angry', 0.40905581503610483)",Why cant everybody else be as skilled at manipulate to screw over their as me Its not my fault
"('negative', 0.7)",negative,Angry,"('Angry', 0.5277893883682709)",I take advantage of the law so have everyone else I deserve to be president NO YOU DO NOT
"('negative', 0.555)",negative,Fear,"('Fear', 0.24735067934084778)",Did you know there be govern body and not one govern Its true
"('negative', 0.947)",negative,Angry,"('Angry', 0.39777947623182097)",Trump I have never go bankrupt Really REALLY You liar
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.466)",negative,Bored,"('Bored', 0.25855005111068485)",We know rich Trump Really rich Now can it
"('positive', 0.696)",positive,Happy,"('Happy', 0.2625572552156267)",and drug
"('positive', 0.808)",positive,Fear,"('Fear', 0.268951165717299)",men on stage discuss one woman
"('neutral', 0.576)",neutral,Fear,"('Fear', 0.2762104716985389)",talk about pimp and prostitute
"('negative', 0.502)",negative,Sad,"('Sad', 0.23034962682569823)",bush have so many money that he could not ever effectively govern
"('positive', 0.62)",positive,Sad,"('Sad', 0.4007269228897509)",If only wed stop get the we deserve
"('negative', 0.592)",negative,Bored,"('Bored', 0.3190471042274396)",What be I Trump when get a point get a point
"('negative', 0.584)",negative,Angry,"('Angry', 0.4472783022340533)",Can you answer this very direct question I should be president So no
"('neutral', 0.477)",neutral,Fear,"('Fear', 0.2793277716967614)",SALACIOUS relate to sex in a way that be excessive or offensive
"('neutral', 0.613)",neutral,Excited,"('Excited', 0.24332729714405033)",want to improve our economy by tax pimp and prostitute who be Were in trouble
"('neutral', 0.346)",neutral,Fear,"('Fear', 0.3590590876667705)",Trump have Cam hand
"('neutral', 0.476)",neutral,Angry,"('Angry', 0.20714160995380415)",Hey I dont think that pimp prostitute can file for social security benefit base on their job
"('neutral', 0.487)",neutral,Bored,"('Bored', 0.4266841471079804)",I think and Trump need to band together and expose this set up job and get rid of Bush and
"('positive', 0.808)",positive,Fear,"('Fear', 0.268951165717299)",men on stage discuss one woman
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.749)",negative,Angry,"('Angry', 0.31674501246970854)",so wait he say he didnt use it and now say when I use it
"('neutral', 0.664)",neutral,Excited,"('Excited', 0.3480164018156265)",Never say never You may go bankrupt one day
"('positive', 0.715)",positive,Happy,"('Happy', 0.45692368693881424)",HAIR LIKE COTTON CANDY
"('negative', 0.444)",negative,Bored,"('Bored', 0.3978009941258815)",not a successful pimp if you have to depend on Social Security
"('neutral', 0.871)",neutral,Fear,"('Fear', 0.24866786015408673)",Please ask him about the illegal that work for him
"('negative', 0.584)",negative,Angry,"('Angry', 0.4472783022340533)",Can you answer this very direct question I should be president So no
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('negative', 0.697)",negative,Bored,"('Bored', 0.26720787383052835)",The men on this stage think theyre capable of make about health they dont believe in
"('negative', 0.867)",negative,Angry,"('Angry', 0.29800314329473454)",I have never go bankrupt Read My
"('positive', 0.808)",positive,Fear,"('Fear', 0.268951165717299)",men on stage discuss one woman
"('neutral', 0.487)",neutral,Angry,"('Angry', 0.49552720374615605)",And if they dont stop say Affordable Act yo damn
"('positive', 0.465)",positive,Fear,"('Fear', 0.32516092331131413)",Yep Trump be drink
"('negative', 0.947)",negative,Angry,"('Angry', 0.39777947623182097)",Trump I have never go bankrupt Really REALLY You liar
"('negative', 0.409)",negative,Angry,"('Angry', 0.33745226099406006)",Hey Mike Leave alone you be one also
"('positive', 0.724)",positive,Sad,"('Sad', 0.564562683314079)",miss the comedy of the year
"('negative', 0.92)",negative,Sad,"('Sad', 0.31218243769642995)",Trump struggle to explain
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('neutral', 0.695)",neutral,Angry,"('Angry', 0.26423860547587597)",We have to be will to call it radical terrorism We need to make join a death warrant
"('neutral', 0.988)",neutral,Excited,"('Excited', 0.37537874630902174)",show
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('negative', 0.52)",negative,Fear,"('Fear', 0.3066143366850107)",How many time have Trump declare bankruptcy
"('negative', 0.665)",negative,Angry,"('Angry', 0.2548202232128729)",Not the pimp and drug
"('positive', 0.887)",positive,Excited,"('Excited', 0.4031913500486502)",Finally The pimp and prostitute be cover me
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('neutral', 0.548)",neutral,Fear,"('Fear', 0.3168781241649488)",Lying and steal from Public have already occur
"('negative', 0.902)",negative,Angry,"('Angry', 0.38961117836244674)",These and former government really hate and government
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('positive', 0.808)",positive,Fear,"('Fear', 0.268951165717299)",men on stage discuss one woman
"('positive', 0.636)",positive,Angry,"('Angry', 0.355020803220646)",So in conclusion yes I hate Trump
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('neutral', 0.578)",neutral,Excited,"('Excited', 0.40810854582305733)",Take care of people work hard and play by the rule not pay into pension
"('positive', 0.655)",positive,Excited,"('Excited', 0.21086858430912028)",for a tax
"('neutral', 0.487)",neutral,Bored,"('Bored', 0.4266841471079804)",I think and Trump need to band together and expose this set up job and get rid of Bush and
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('negative', 0.367)",negative,Excited,"('Excited', 0.3453231911539963)",tax plan make it hard out here for the pimp And the And the drug
"('negative', 0.531)",negative,Bored,"('Bored', 0.31171706517007935)",Trump be tell about his company
"('negative', 0.792)",negative,Sad,"('Sad', 0.33831617343594617)",be I now have to chug all my wine didnt think that be make it in
"('negative', 0.709)",negative,Angry,"('Angry', 0.3263606499723769)",Dear Walker you have nothing to brag about you your state of and you suck
"('neutral', 0.654)",neutral,Bored,"('Bored', 0.37693993530989844)",Wait do he say and
"('neutral', 0.494)",neutral,Happy,"('Happy', 0.45740341134072093)",toupee get me for some cotton candy
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('negative', 0.632)",negative,Angry,"('Angry', 0.4520245603205219)",We need a good and bad egg weed out these just arent cut it
"('positive', 0.808)",positive,Fear,"('Fear', 0.268951165717299)",men on stage discuss one woman
"('positive', 0.949)",positive,Fear,"('Fear', 0.3034401421486143)",Good even I didnt watch the I didnt feel like it
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.933)",negative,Angry,"('Angry', 0.34378185760709185)",fault be it that the system be screw up
"('negative', 0.822)",negative,Angry,"('Angry', 0.26426967660011846)",Fox be totally burn Trump he surge after this ass kick I give up
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('positive', 0.516)",positive,Angry,"('Angry', 0.30241839576287555)",Breaking just hand a to calm him down
"('neutral', 0.638)",neutral,Excited,"('Excited', 0.34843662460133157)",end retirement for Congress I say force them into too
"('neutral', 0.583)",neutral,Bored,"('Bored', 0.2778663206076333)",Mike want to end retirement plan to save the people And Tax pimp and drug
"('negative', 0.581)",negative,Angry,"('Angry', 0.503580315810515)",Id like to see this bunch of work a construction until theyre old
"('neutral', 0.783)",neutral,Excited,"('Excited', 0.49129524643797035)",head into the Presidential GO TED
"('neutral', 0.589)",neutral,Fear,"('Fear', 0.26113233597767077)",I want to collect more record from and from
"('positive', 0.808)",positive,Fear,"('Fear', 0.268951165717299)",men on stage discuss one woman
"('negative', 0.637)",negative,Bored,"('Bored', 0.3479379982701776)",He be almost to hoe
"('positive', 0.723)",positive,Excited,"('Excited', 0.2476043606463393)",Damn pimp
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('neutral', 0.537)",neutral,Fear,"('Fear', 0.4495810908681098)",Did Huck just say he want to protect the benefit of pimp and prostitute
"('negative', 0.467)",negative,Angry,"('Angry', 0.24402199699417876)",the dehumanize racism and misogyny just keep on go
"('positive', 0.575)",positive,Excited,"('Excited', 0.39443506234043574)",prostitute and pimp
"('negative', 0.594)",negative,Bored,"('Bored', 0.2663386250243473)",Everything be the prostitute and pimp fault right
"('negative', 0.584)",negative,Angry,"('Angry', 0.4472783022340533)",Can you answer this very direct question I should be president So no
"('negative', 0.961)",negative,Angry,"('Angry', 0.7201418387079694)",really really really piss off at FOX News for what they do to
"('negative', 0.409)",negative,Angry,"('Angry', 0.33745226099406006)",Hey Mike Leave alone you be one also
"('neutral', 0.487)",neutral,Angry,"('Angry', 0.49552720374615605)",And if they dont stop say Affordable Act yo damn
"('neutral', 0.531)",neutral,Angry,"('Angry', 0.29343781486835097)",talk change tax code to fix job Is that for give more tax break
"('neutral', 0.505)",neutral,Happy,"('Happy', 0.27458551837412226)",YOU GO HUCK
"('positive', 0.602)",positive,Excited,"('Excited', 0.4393739179610816)",So be on the same level as the pimp
"('positive', 0.869)",positive,Bored,"('Bored', 0.30624059035454954)",Glad social security be debate at Future be now
"('negative', 0.852)",negative,Angry,"('Angry', 0.5918211981177847)",If I hear one more crack deal pimp brag about collect social security really lose it
"('negative', 0.534)",negative,Fear,"('Fear', 0.42332763898204145)",and theres the first weird comment of the night
"('neutral', 0.501)",neutral,Excited,"('Excited', 0.43607966152626804)",We need a strong leader to tell the truth and fix it
"('neutral', 0.553)",neutral,Angry,"('Angry', 0.2664395311830482)",pay tax
"('neutral', 0.346)",neutral,Fear,"('Fear', 0.3590590876667705)",Trump have Cam hand
"('negative', 0.907)",negative,Sad,"('Sad', 0.3533262441458938)",apparently give up
"('negative', 0.584)",negative,Angry,"('Angry', 0.4472783022340533)",Can you answer this very direct question I should be president So no
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('positive', 0.505)",positive,Fear,"('Fear', 0.2925324277351095)",hear more about prostitute and pimp tho
"('neutral', 0.537)",neutral,Fear,"('Fear', 0.4495810908681098)",Did Huck just say he want to protect the benefit of pimp and prostitute
"('negative', 0.594)",negative,Bored,"('Bored', 0.2663386250243473)",Everything be the prostitute and pimp fault right
"('neutral', 0.514)",neutral,Fear,"('Fear', 0.20540630178233157)",and prostitute say
"('negative', 0.584)",negative,Angry,"('Angry', 0.4472783022340533)",Can you answer this very direct question I should be president So no
"('negative', 0.591)",negative,Angry,"('Angry', 0.24735612991806213)",Yep its the pimp and drug that be the problem with this country
"('negative', 0.598)",negative,Excited,"('Excited', 0.7669312328753345)",be the devil
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('neutral', 0.531)",neutral,Angry,"('Angry', 0.29343781486835097)",talk change tax code to fix job Is that for give more tax break
"('negative', 0.647)",negative,Angry,"('Angry', 0.38000358371656123)",This debate should be about liberal
"('neutral', 0.829)",neutral,Happy,"('Happy', 0.44754113861391986)",pack drink when listen to
"('positive', 0.45)",positive,Bored,"('Bored', 0.3574373477005658)",it be call the
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('negative', 0.555)",negative,Fear,"('Fear', 0.24735067934084778)",Did you know there be govern body and not one govern Its true
"('negative', 0.917)",negative,Sad,"('Sad', 0.25858090175411585)",Some of these guy be nail it unfortunately put herself at the center of headline Pathetic
"('positive', 0.926)",positive,Excited,"('Excited', 0.37477767851256133)",Shout out to the white people cheer
"('neutral', 0.612)",neutral,Excited,"('Excited', 0.341812907776325)",be against pimp and prostitute Got it
"('negative', 0.535)",negative,Bored,"('Bored', 0.45001098531483036)",all for a fair tax but your argument be a little soft
"('positive', 0.543)",positive,Angry,"('Angry', 0.2858388888417386)",Dear Ben you Sir need a
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('neutral', 0.459)",neutral,Excited,"('Excited', 0.2913615839120365)",We work for that social security Cut the retirement of Congress before
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('neutral', 0.487)",neutral,Bored,"('Bored', 0.4266841471079804)",I think and Trump need to band together and expose this set up job and get rid of Bush and
"('positive', 0.502)",positive,Excited,"('Excited', 0.39991734889498687)",cop
"('positive', 0.631)",positive,Bored,"('Bored', 0.28162829500561853)",Just get his ass serve to him by
"('positive', 0.816)",positive,Excited,"('Excited', 0.48186088763843427)",pimp
"('positive', 0.638)",positive,Excited,"('Excited', 0.5174151929127024)",just propose a pimp tax
"('neutral', 0.466)",neutral,Excited,"('Excited', 0.2553812025440332)",have only point out the but reveal a solution
"('negative', 0.364)",negative,Excited,"('Excited', 0.30107107032700603)",The fundamental problem be and the party
"('negative', 0.686)",negative,Angry,"('Angry', 0.2510216031199888)",FOX News wont admit who the Republican leader be right now I mean only have a lead
"('negative', 0.686)",negative,Angry,"('Angry', 0.2510216031199888)",FOX News wont admit who the Republican leader be right now I mean only have a lead
"('neutral', 0.346)",neutral,Fear,"('Fear', 0.3590590876667705)",Trump have Cam hand
"('negative', 0.951)",negative,Angry,"('Angry', 0.58993661667909)",I hate when they call Social Security an entitlement The government doesnt fund Social Security you and your employer
"('positive', 0.858)",positive,Fear,"('Fear', 0.3367325264422994)",Not Usually In To This Is Good Entertainment
"('positive', 0.746)",positive,Excited,"('Excited', 0.30237070799302435)",Its on Social Security Nice exchange on both side
"('positive', 0.496)",positive,Angry,"('Angry', 0.4202284759284658)",spud Ben tithe tax system be like
"('neutral', 0.548)",neutral,Fear,"('Fear', 0.3168781241649488)",Lying and steal from Public have already occur
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('positive', 0.876)",positive,Excited,"('Excited', 0.25933361192542653)",My favorite part of the be when the pretend not to be the people they be
"('neutral', 0.669)",neutral,Fear,"('Fear', 0.3351567890646506)",I be wonder what Fox be up to with THIS debate get rid of Trump
"('neutral', 0.803)",neutral,Sad,"('Sad', 0.31467738855194827)",When do you have time to tweet
"('positive', 0.485)",positive,Sad,"('Sad', 0.44465820832099373)",Cant stand much more If these be the best of the I love our chance in
"('neutral', 0.714)",neutral,Bored,"('Bored', 0.23977854255886702)",Who back man mission to within lead to tech jump a sense of unity this country need
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('neutral', 0.487)",neutral,Bored,"('Bored', 0.4266841471079804)",I think and Trump need to band together and expose this set up job and get rid of Bush and
"('negative', 0.364)",negative,Excited,"('Excited', 0.30107107032700603)",The fundamental problem be and the party
"('negative', 0.555)",negative,Fear,"('Fear', 0.24735067934084778)",Did you know there be govern body and not one govern Its true
"('negative', 0.584)",negative,Angry,"('Angry', 0.4472783022340533)",Can you answer this very direct question I should be president So no
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('positive', 0.516)",positive,Angry,"('Angry', 0.30241839576287555)",Breaking just hand a to calm him down
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.632)",negative,Angry,"('Angry', 0.4520245603205219)",We need a good and bad egg weed out these just arent cut it
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.742)",negative,Angry,"('Angry', 0.7169528069840173)",One crash of the economy be way more than we want again no thank
"('negative', 0.712)",negative,Bored,"('Bored', 0.7773821158620019)",politics be so bore when you make it all about rich white straight men
"('negative', 0.609)",negative,Bored,"('Bored', 0.22574335113760924)",just bury not that hard
"('negative', 0.475)",negative,Sad,"('Sad', 0.3234210674855586)",Is Senator Walker really
"('neutral', 0.346)",neutral,Fear,"('Fear', 0.3590590876667705)",Trump have Cam hand
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('negative', 0.791)",negative,Angry,"('Angry', 0.3879816657849596)",Fox be cherry pick the get the softball question nothing for
"('neutral', 0.433)",neutral,Angry,"('Angry', 0.34322912825629437)",Government secure bond be not If they be no one better tell China
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('positive', 0.688)",positive,Excited,"('Excited', 0.6066520889948194)",In term of substance dominate
"('neutral', 0.553)",neutral,Excited,"('Excited', 0.4214705458433439)",address and the butcher of baby for profit
"('neutral', 0.783)",neutral,Excited,"('Excited', 0.49129524643797035)",head into the Presidential GO TED
"('negative', 0.369)",negative,Bored,"('Bored', 0.718649806418415)",lie cuss now beat the of I
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('negative', 0.46)",negative,Bored,"('Bored', 0.37849491161801296)",Obviously doesnt want as Is everyone with select the nominee
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.902)",negative,Angry,"('Angry', 0.38961117836244674)",These and former government really hate and government
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.686)",negative,Angry,"('Angry', 0.2510216031199888)",FOX News wont admit who the Republican leader be right now I mean only have a lead
"('negative', 0.961)",negative,Angry,"('Angry', 0.7201418387079694)",really really really piss off at FOX News for what they do to
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('neutral', 0.346)",neutral,Fear,"('Fear', 0.3590590876667705)",Trump have Cam hand
"('negative', 0.787)",negative,Angry,"('Angry', 0.37438161807494713)",If you save for retirement and pay into social security you dont get it back because you have much for retirement Stupid
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('neutral', 0.435)",neutral,Happy,"('Happy', 0.24981907131398928)",be a travesty
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.581)",negative,Angry,"('Angry', 0.503580315810515)",Id like to see this bunch of work a construction until theyre old
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.686)",negative,Angry,"('Angry', 0.2510216031199888)",FOX News wont admit who the Republican leader be right now I mean only have a lead
"('negative', 0.48)",negative,Bored,"('Bored', 0.337216505992412)",The be probably as good a time as any to weigh in on this vital issue and
"('negative', 0.946)",negative,Angry,"('Angry', 0.595384839997182)",I hate when they call Social Security an entitlement The government doesnt fund Social Security you and your employer do
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.663)",negative,Bored,"('Bored', 0.33391547235827684)",You wouldnt buy a use car from any of these character
"('neutral', 0.346)",neutral,Fear,"('Fear', 0.3590590876667705)",Trump have Cam hand
"('positive', 0.808)",positive,Fear,"('Fear', 0.268951165717299)",men on stage discuss one woman
"('positive', 0.751)",positive,Excited,"('Excited', 0.22329565570076584)",Hart Slash say who will never be President
"('neutral', 0.346)",neutral,Fear,"('Fear', 0.3590590876667705)",Trump have Cam hand
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('positive', 0.63)",positive,Happy,"('Happy', 0.2830112402505743)",by [ at ] I saw all I need to see be right about for
"('neutral', 0.487)",neutral,Bored,"('Bored', 0.4266841471079804)",I think and Trump need to band together and expose this set up job and get rid of Bush and
"('neutral', 0.487)",neutral,Bored,"('Bored', 0.4266841471079804)",I think and Trump need to band together and expose this set up job and get rid of Bush and
"('neutral', 0.728)",neutral,Bored,"('Bored', 0.22856390105171237)",have a look on his face like rather be discuss give constitutional right to
"('neutral', 0.487)",neutral,Bored,"('Bored', 0.4266841471079804)",I think and Trump need to band together and expose this set up job and get rid of Bush and
"('negative', 0.686)",negative,Angry,"('Angry', 0.2510216031199888)",FOX News wont admit who the Republican leader be right now I mean only have a lead
"('negative', 0.586)",negative,Sad,"('Sad', 0.44521337270185235)",After hug he doesnt deserve to be on the stage tonight
"('positive', 0.688)",positive,Excited,"('Excited', 0.6066520889948194)",In term of substance dominate
"('positive', 0.993)",positive,Happy,"('Happy', 0.41142930058076554)",Its cute how have the Big Boy haircut
"('negative', 0.751)",negative,Angry,"('Angry', 0.30645217924507323)",Perry just go didnt get that question while watch his at the hotel
"('neutral', 0.487)",neutral,Bored,"('Bored', 0.4266841471079804)",I think and Trump need to band together and expose this set up job and get rid of Bush and
"('negative', 0.85)",negative,Angry,"('Angry', 0.3466669954757958)",Mike Youve not receive the nomination too many time
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('neutral', 0.623)",neutral,Angry,"('Angry', 0.2744251076911457)",Fox be cherry pick the get the softball question
"('neutral', 0.346)",neutral,Fear,"('Fear', 0.3590590876667705)",Trump have Cam hand
"('positive', 0.993)",positive,Happy,"('Happy', 0.41142930058076554)",Its cute how have the Big Boy haircut
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('neutral', 0.427)",neutral,Sad,"('Sad', 0.23860016623818273)",Walker be delusion yo
"('positive', 0.808)",positive,Fear,"('Fear', 0.268951165717299)",men on stage discuss one woman
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('positive', 0.688)",positive,Excited,"('Excited', 0.6066520889948194)",In term of substance dominate
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.94)",negative,Angry,"('Angry', 0.49766088091675975)",No do
"('neutral', 0.456)",neutral,Bored,"('Bored', 0.27511811487662396)",Watching THE WIRE rerun instead of the Twitter be probably the more entertain way to follow it anyway
"('neutral', 0.465)",neutral,Bored,"('Bored', 0.2737489412764348)",Slash say who will never be President
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('negative', 0.647)",negative,Bored,"('Bored', 0.4927850863481124)",need more time in the honestly
"('neutral', 0.487)",neutral,Bored,"('Bored', 0.4266841471079804)",I think and Trump need to band together and expose this set up job and get rid of Bush and
"('negative', 0.39)",negative,Bored,"('Bored', 0.2783613099757222)",what they think about you Ben THEY DONT LOVE YOU
"('neutral', 0.434)",neutral,Bored,"('Bored', 0.3211438260274303)",There should be more This be so entertain
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('positive', 0.666)",positive,Bored,"('Bored', 0.25671978638812953)",he only guy on this stage have be say by all who be all no not the only guy on stage
"('negative', 0.802)",negative,Angry,"('Angry', 0.3814010215506797)",there be no politically correct way to say be fail with its current leadership A deadbeat nation with no change
"('positive', 0.565)",positive,Happy,"('Happy', 0.25174246083864765)",Ill tell you the one good thing about be trip over themselves to outdo each other in
"('negative', 0.941)",negative,Bored,"('Bored', 0.3741425837708055)",Bush remind me of elevator music You hear it but you dont listen
"('neutral', 0.487)",neutral,Bored,"('Bored', 0.4266841471079804)",I think and Trump need to band together and expose this set up job and get rid of Bush and
"('negative', 0.686)",negative,Angry,"('Angry', 0.2510216031199888)",FOX News wont admit who the Republican leader be right now I mean only have a lead
